ID,Index,Questions,Models,Users,Notes,Category,Stage,Stage_minor,Sentences
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Managing prediabetes effectively with diet can significantly lower your risk of developing type 2 diabetes.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"The focus should be on a well-balanced diet that helps maintain stable blood sugar levels, improve insulin sensitivity, and support overall health."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Focus on High-Fiber Foods
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Whole Grains: Opt for whole grains like brown rice, quinoa, whole-wheat bread, oats, and barley instead of refined carbohydrates (like white bread or white rice)."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Whole grains are higher in fiber, which slows digestion and stabilizes blood sugar."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Legumes: Lentils, chickpeas, and beans are great sources of fiber and plant-based protein, and they have a low glycemic index."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Vegetables: Eat plenty of non-starchy vegetables like leafy greens, broccoli, cauliflower, peppers, and carrots."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,They are low in calories and carbohydrates but high in fiber.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Avocado: Rich in monounsaturated fats that help keep you full and support heart health.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Nuts and Seeds: Almonds, walnuts, chia seeds, and flaxseeds provide healthy fats, fiber, and protein."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Olive Oil: Use extra-virgin olive oil for cooking and salad dressings.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Fatty Fish: Salmon, mackerel, and sardines are high in omega-3 fatty acids, which help reduce inflammation and support heart health."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Poultry: Skinless chicken or turkey is a great choice.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Fish: As mentioned, fatty fish is ideal, but you can also include lean options like cod or tilapia."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Plant-Based Proteins: Tofu, tempeh, edamame, and legumes are excellent for vegetarians."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Eggs: A good source of protein and nutrients; aim for moderation if cholesterol is a concern.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Limit Added Sugars and Refined Carbohydrates
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Avoid sugary drinks (soda, sweetened teas, and fruit juices) and opt for water, unsweetened tea, or black coffee."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"Limit sweets, desserts, and candies."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"If craving something sweet, reach for a piece of fruit or a small amount of dark chocolate (at least 70% cocoa)."
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Control Portion Sizes and Carbohydrate Intake
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,Use smaller plates to control portion sizes and be mindful of how much you're eating.
11,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,3,,1,1,1,"A healthy approach to meal composition is the ""plate method"": half your plate should be non-starchy vegetables, a quarter lean protein, and a quarter healthy carbohydrates."
