ID,Index,Questions,Models,Users,Notes,Category,Stage,Stage_minor,Sentences,type_info
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Managing prediabetes through dietary choices is crucial to prevent the progression to type 2 diabetes.,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Incorporate plenty of non-starchy vegetables such as broccoli, spinach, kale, bell peppers, and green beans.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"These are low in carbohydrates and high in fiber, which helps regulate blood sugar levels.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Choose Whole Grains Over Refined Carbohydrates,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Opt for whole grains like brown rice, quinoa, barley, and whole wheat bread instead of refined grains.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Whole grains have a lower glycemic index, leading to more stable blood sugar levels.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Incorporate lean protein sources such as fish, poultry, legumes, and nuts.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,These can help you feel full longer and have a minimal impact on blood sugar.,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Limit Added Sugars and Sugary Beverages,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Reduce consumption of foods and drinks high in added sugars, including sodas, sweetened teas, and desserts, as they can cause rapid spikes in blood sugar.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Be mindful of portion sizes to avoid overeating, which can lead to weight gain and increased blood sugar levels.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Using smaller plates and measuring portions can help control intake.,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Stay Hydrated with Water,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Choose water or unsweetened beverages over sugary drinks to help control calorie intake and maintain hydration without affecting blood sugar.,<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Aim to include a mix of vegetables, lean proteins, and whole grains in each meal to promote balanced blood sugar levels.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"The Diabetes Plate Method suggests filling half your plate with non-starchy vegetables, a quarter with lean protein, and a quarter with whole grains or starchy vegetables.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,"Combine your dietary efforts with regular physical activity, such as 150 minutes of moderate exercise per week, to improve insulin sensitivity and aid in weight management.",<class 'str'>
1,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o-web-based,1,,1,1,1,Consulting with a registered dietitian can provide personalized guidance tailored to your specific needs and preferences.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,I'm sorry to hear about your diagnosis.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Adopting a healthy diet is a key step in managing prediabetes and preventing the progression to type 2 diabetes.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Choose foods like brown rice, whole wheat bread, oatmeal, and quinoa.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"These foods have a lower glycemic index and are high in fiber, which helps regulate blood sugar levels.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Incorporate plenty of vegetables, fruits (especially those with edible skins), legumes, and whole grains.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Aim for at least 25–30 grams of fiber per day to improve blood sugar control.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Reduce consumption of sugary beverages, candies, pastries, and white bread.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Check food labels for hidden sugars in processed foods.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Opt for fish, poultry without skin, lean meats, tofu, and legumes.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Protein helps you feel full longer and can prevent overeating.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Use oils rich in monounsaturated and polyunsaturated fats like olive oil and canola oil.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Include sources of omega-3 fatty acids like fatty fish (salmon, mackerel) and flaxseeds.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Be mindful of serving sizes to avoid overeating.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Using smaller plates or measuring portions can help manage intake.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"These foods are often high in unhealthy fats, sugars, and sodium.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Opt for fresh, whole foods whenever possible.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Drink plenty of water throughout the day.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Limit sugary drinks and excessive alcohol consumption.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Eat meals and snacks at consistent times each day to help regulate blood sugar levels.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Avoid skipping meals, which can lead to spikes and drops in blood sugar.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Be aware of the amount and type of carbohydrates you consume.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Consider working with a dietitian to develop a carb-counting plan if necessary.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"While not a dietary recommendation, regular exercise complements a healthy diet in managing prediabetes.",<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Aim for at least 150 minutes of moderate-intensity exercise per week.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Consult a Professional: It's important to work with a healthcare provider or a registered dietitian to create a personalized meal plan that suits your specific needs and health goals.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,Regular Monitoring: Keep track of your blood sugar levels as recommended by your doctor to see how your diet and lifestyle changes are affecting your health.,<class 'str'>
2,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt o1-preview,1,,1,1,1,"Remember, making gradual changes and maintaining them over time can lead to significant improvements in your health.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Managing prediabetes through diet is a great step to help stabilize blood sugar levels, reduce the risk of progressing to type 2 diabetes, and improve overall health.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Focus on Low Glycemic Index (GI) Foods,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Eat: Non-starchy vegetables (like leafy greens, bell peppers, cucumbers), legumes, whole grains (quinoa, barley, whole oats), berries, and nuts.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Low-GI foods cause slower rises in blood glucose, helping to avoid spikes that can worsen insulin resistance.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Eat: Whole fruits (apples, pears, berries), vegetables, whole grains, and legumes.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Fiber slows digestion, helping stabilize blood sugar and improve insulin sensitivity.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Aim for about 25-35 grams of fiber daily.,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Reduce Refined Carbohydrates and Sugars,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Limit: White bread, pastries, soda, candies, and sugary cereals.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Why: These foods can cause quick spikes in blood sugar.,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Instead, opt for whole foods that have natural sugars paired with fiber, which helps moderate blood sugar response.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Include Lean Proteins in Each Meal,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Eat: Lean meats (chicken, turkey), fish, tofu, eggs, Greek yogurt, and legumes.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Protein can help you feel full longer and slow down the absorption of carbs, making it easier to maintain stable blood sugar levels.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Healthy Fats Are Your Friend,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Eat: Avocado, nuts, seeds, olive oil, and fatty fish (like salmon and sardines).",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Why: Healthy fats help keep you full and are beneficial for heart health.,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Pairing fats with carbs can also reduce the overall glycemic response.,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Portion Control and Balanced Meals,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Strategy: Fill half your plate with non-starchy vegetables, a quarter with lean protein, and a quarter with whole grains or starchy vegetables.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: This approach helps maintain balanced blood sugar by providing steady energy from carbs while incorporating fiber, protein, and fat.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"What to Drink: Water, herbal teas, and unsweetened beverages.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Why: Proper hydration helps maintain blood sugar levels.,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Avoid sugary drinks and limit fruit juices, even unsweetened ones.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Limit: Packaged snacks, ready-made meals, processed meats, and frozen dinners.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: These often contain hidden sugars, unhealthy fats, and additives that can disrupt blood sugar management.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Be Mindful of Fruit Choices,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Best Options: Berries, apples, pears, and cherries (as they have a lower glycemic index).",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Avoid or Limit: Fruit juices and dried fruits, which can be high in sugar and lack fiber.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Establish Consistent Eating Times,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Eating at regular intervals can help maintain steady blood sugar levels and prevent excessive hunger, which can lead to overeating or cravings for sugary foods.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Why: Alcohol can cause fluctuations in blood sugar, and some alcoholic beverages are high in sugars.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Aim to drink in moderation, if at all.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Sample Day of Meals,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Breakfast: Greek yogurt with chia seeds, berries, and a sprinkle of nuts.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Lunch: Mixed salad with leafy greens, grilled chicken, avocado, and a vinaigrette dressing.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,Snack: A small handful of nuts or an apple with almond butter.,<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"Dinner: Grilled salmon with quinoa, steamed broccoli, and a side of mixed greens.",<class 'str'>
3,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4o,1,,1,1,1,"It’s also valuable to consult with a healthcare provider or registered dietitian, as they can tailor dietary advice to your specific health needs and lifestyle.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Managing prediabetes through diet is crucial to prevent the progression to type 2 diabetes.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"Choose Whole Grains Over Refined Carbohydrates: Foods like whole wheat, brown rice, quinoa, and oats have a lower glycemic index compared to white bread, white rice, and other refined grains.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,This means they have a slower impact on your blood sugar levels.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,Incorporate Lots of Fiber: High-fiber foods not only help keep blood sugar levels stable but also can help with weight management.,<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"Fruits, vegetables, beans, whole grains, and nuts are great sources of fiber.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,"Opt for Healthy Fats: Include sources of healthy fats in your diet, such as avocados, nuts, seeds, and olive oil.",<class 'str'>
4,1,"I have prediabetes, what are your recommendations on diet?",ChatGpt 4,1,,1,1,1,These can help manage blood sugar levels and lower the risk of heart disease.,<class 'str'>
